Req_ID,Veh_ID,Tile_name,Tx1,P1,Pr1,Tx2,P2,Total delay,Distance
1,0,"(10, 10)_6_8_osm",0.008192,1.2867607441355035e-07,0.0,0.0,386.02822336932707,386.0364154980031,38.6028223240651,1690390054.1128733
2,0,"(10, 10)_6_8_pcd",0.008192,1.2867607441355035e-07,0.0,0.0,386.02822336932707,386.0364154980031,38.6028223240651,1690390055.115423
3,0,"(10, 10)_6_8_osm",0.008192,1.2675186605106607e-07,0.0,0.0,380.25559827995,380.26379040670184,38.025559815319816,1690390056.1182787
4,0,"(10, 10)_6_8_pcd",0.008192,1.2675186605106607e-07,0.0,0.0,380.25559827995,380.26379040670184,38.025559815319816,1690390057.1206546
5,1,"(10, 10)_6_9_osm",0.008192,2.5417821160028377e-07,0.0,0.0,762.5346350550294,762.5428273092076,76.25346348008513,1690390058.1231427
6,1,"(10, 10)_6_9_pcd",0.008192,2.5417821160028377e-07,0.0,0.0,762.5346350550294,762.5428273092076,76.25346348008513,1690390059.125276
7,0,"(10, 10)_6_8_osm",0.008192,1.2980464961003844e-07,0.0,0.0,25.286620183708244,25.294812313512892,38.94139488301153,1690390060.1272855
8,0,"(10, 10)_6_8_pcd",0.008192,1.2980464961003844e-07,0.0,0.0,25.286620183708244,25.294812313512892,38.94139488301153,1690390061.1287298
9,1,"(10, 10)_6_9_osm",0.008192,2.54679384776906e-07,0.0,0.0,38.6207386595579,38.62893091423729,76.40381543307181,1690390062.1318502
10,1,"(10, 10)_6_9_pcd",0.008192,2.54679384776906e-07,0.0,0.0,38.6207386595579,38.62893091423729,76.40381543307181,1690390063.1336293
11,2,"(10, 10)_4_9_osm",0.008192,3.8007738744213907e-07,0.0,0.0,1140.2321627064946,1140.240355086572,114.02321623264173,1690390064.136102
12,2,"(10, 10)_4_9_pcd",0.008192,3.8007738744213907e-07,0.0,0.0,1140.2321627064946,1140.240355086572,114.02321623264173,1690390065.1383946
13,0,"(10, 10)_6_8_osm",0.008192,1.2382998688839727e-07,0.0,0.0,9.647959322125793,9.65615144595578,37.14899606651918,1690390066.1412692
14,0,"(10, 10)_6_8_pcd",0.008192,1.2382998688839727e-07,0.0,0.0,9.647959322125793,9.65615144595578,37.14899606651918,1690390067.1428554
15,1,"(10, 10)_6_9_osm",0.008192,2.560328053641157e-07,0.0,0.0,20.941613441830555,20.94980569786336,76.80984160923471,1690390068.1452112
16,1,"(10, 10)_6_9_pcd",0.008192,2.560328053641157e-07,0.0,0.0,20.941613441830555,20.94980569786336,76.80984160923471,1690390069.147678
17,2,"(10, 10)_4_9_osm",0.008192,3.7465506853484455e-07,0.0,0.0,50.95883850952974,50.96703088418481,112.39652056045337,1690390070.149775
18,2,"(10, 10)_4_9_pcd",0.008192,3.7465506853484455e-07,0.0,0.0,50.95883850952974,50.96703088418481,112.39652056045337,1690390071.1521933
19,3,"(10, 10)_4_0_osm",0.008192,1.1553237670686136e-06,0.0,0.0,3465.971302361165,3465.9794955164884,346.5971301205841,1690390072.155083
20,3,"(10, 10)_4_0_pcd",0.008192,1.1553237670686136e-06,0.0,0.0,3465.971302361165,3465.9794955164884,346.5971301205841,1690390073.155891
21,0,"(10, 10)_6_8_osm",0.008192,1.1510656933713233e-07,0.0,0.0,5.558905761716182,5.567097876822751,34.5319708011397,1690390074.1589673
22,0,"(10, 10)_6_8_pcd",0.008192,1.1510656933713233e-07,0.0,0.0,5.558905761716182,5.567097876822751,34.5319708011397,1690390075.1613035
23,1,"(10, 10)_6_9_osm",0.008192,2.5874828677340025e-07,0.0,0.0,15.538180746906711,15.546373005654997,77.62448603202007,1690390076.1641006
24,1,"(10, 10)_6_9_pcd",0.008192,2.5874828677340025e-07,0.0,0.0,15.538180746906711,15.546373005654997,77.62448603202007,1690390077.1668646
25,2,"(10, 10)_4_9_osm",0.008192,3.6376298909477913e-07,0.0,0.0,24.209787710676874,24.217980074439865,109.12889672843374,1690390078.169232
26,2,"(10, 10)_4_9_pcd",0.008192,3.6376298909477913e-07,0.0,0.0,24.209787710676874,24.217980074439865,109.12889672843374,1690390079.1707811
27,3,"(10, 10)_4_0_osm",0.008192,1.1486122888290316e-06,0.0,0.0,137.42444344100937,137.43263658962167,344.5836866487095,1690390080.173239
28,3,"(10, 10)_4_0_pcd",0.008192,1.1486122888290316e-06,0.0,0.0,137.42444344100937,137.43263658962167,344.5836866487095,1690390081.175107
29,4,"(10, 10)_7_7_osm",0.008192,8.010039591753014e-08,0.0,0.0,240.3011878326908,240.3093799127912,24.03011877525904,1690390082.1780782
30,4,"(10, 10)_7_7_pcd",0.008192,8.010039591753014e-08,0.0,0.0,240.3011878326908,240.3093799127912,24.03011877525904,1690390083.180224
31,0,"(10, 10)_6_8_osm",0.008192,1.0581263360468253e-07,0.0,0.0,4.423186288379039,4.431378394191673,31.743790081404757,1690390084.1830509
32,0,"(10, 10)_6_8_pcd",0.008192,1.0581263360468253e-07,0.0,0.0,4.423186288379039,4.431378394191673,31.743790081404757,1690390085.1852207
33,1,"(10, 10)_6_9_osm",0.008192,2.6465361826389335e-07,0.0,0.0,10.574833489944467,10.583025754598085,79.39608547916801,1690390086.187663
34,1,"(10, 10)_6_9_pcd",0.008192,2.6465361826389335e-07,0.0,0.0,10.574833489944467,10.583025754598085,79.39608547916801,1690390087.1891065
35,2,"(10, 10)_4_9_osm",0.008192,3.476191842230641e-07,0.0,0.0,15.10421432992547,15.112406677544655,104.28575526691924,1690390088.192164
