Time,Vehicle ID,X,Y,Lat,Long,Speed
0,0,1437.82,468.34,36.90706123016816,-1.1853981697363782,0.0
1,0,1434.86,469.54,36.90703464975781,-1.1853873000649837,0.0
1,1,1436.4542835198777,519.2033881872151,36.90704930781084,-1.1849382944025133,0.0
2,0,1434.4943960932876,471.0256112823126,36.90703137576535,-1.1853738658592998,1.54
2,1,1434.6172799862848,519.9378411057918,36.90703281169199,-1.1849316415157947,1.9783105810172856
2,2,1356.4628632790882,546.7733276198711,36.90633096264327,-1.1846884825538733,0.0
3,0,1431.7860714061999,470.0626270860117,36.90700704137043,-1.1853825538778686,3.850451199366711
3,1,1431.2114555749522,521.2995247570857,36.90700222770991,-1.1849193069920043,3.6678092049434783
3,2,1358.5270176210247,545.9963078567597,36.906349498871904,-1.1846955218466564,2.2056335009634496
3,3,1349.2155001170008,4.6027030250437715,36.90626217358232,-1.1895903028243155,0.0
4,0,1434.12689499022,465.12197370045476,36.907028034548745,-1.1854272393068213,6.212008801084943
4,1,1426.5725653688712,523.1542008034344,36.9069605709145,-1.184902506800945,4.995725599350409
4,2,1362.7455132918362,544.4083187998243,36.90638738121455,-1.1847099079929813,4.507635493227281
4,3,1349.4591152795927,7.096723368985519,36.906264378890874,-1.1895677555746877,2.507441041059792
4,4,1441.95,426.49,36.90709804414503,-1.1857765721424305,0.0
5,0,1436.726595078112,459.00332687533665,36.90705134511596,-1.1854825769791941,7.176679608586244
5,1,1419.6008269870038,525.9415735593815,36.90689796536577,-1.184877257974326,7.508022470679135
5,2,1369.2070479626882,541.9759715488084,36.906445406183444,-1.1847319434748107,6.904414581856691
5,3,1349.9117699366732,11.730794218799154,36.90626847651331,-1.1895258611479016,4.65900747932028
5,4,1445.06,426.41427859843947,36.907125979588656,-1.1857772780192448,2.201692483876832
6,0,1436.8805990117014,455.033447698363,36.90705270151249,-1.1855184704983635,3.975583026365843
6,1,1410.706221329293,529.4977284417387,36.90681809265618,-1.1848450452982724,9.578801654349082
6,2,1377.2463856526538,538.9496841532787,36.906517599921955,-1.1847593596680759,8.590361764281988
6,3,1350.4981914580583,17.734308897030598,36.90627378504848,-1.1894715862315397,6.035820490145124
6,4,1444.281574407653,421.9814418117909,36.907118957171384,-1.1858173508565562,3.78136119893752
7,0,1436.7441448252548,449.59997927848104,36.90705143889181,-1.1855675946330255,5.881771042867098
7,1,1400.407659199234,533.6151995708065,36.90672561255812,-1.1848077480590642,11.090754077816383
7,2,1386.8917727499838,535.3188236864908,36.90660421608691,-1.1847922529005497,10.306491370056756
7,3,1351.3161781171068,26.108481288587374,36.90628118980557,-1.1893958793274135,8.419235067791304
7,4,1441.8958196353867,415.27668897097504,36.907097481285454,-1.1858779535475983,6.157825691509061
8,0,1439.8323786500569,443.0206351945191,36.90707913464096,-1.1856271009035582,7.87460501968721
8,1,1388.914377386942,537.9760137114114,36.906622402409724,-1.1847682425454211,12.292581896249473
8,2,1398.1618741346954,531.0692933277262,36.90670542224517,-1.1848307507523654,12.045123617490754
8,3,1352.2843017094144,36.01968676930509,36.906289953659766,-1.1893062768381824,9.964539162279104
8,4,1436.903257522706,408.5349976623029,36.90705258917697,-1.185938872377983,8.076776412175969
9,0,1444.2619321847062,434.4804656400539,36.907118865639376,-1.1857043445598414,9.833815719064791
9,1,1377.514176890398,542.2695957166034,36.906520027927414,-1.1847293455280772,12.181478170792841
9,2,1410.6308051752621,526.0834962695025,36.906817392042825,-1.1848759135298599,13.429240827972762
9,3,1353.4269951749188,47.71805857645404,36.90630029778526,-1.189200517427804,11.76132249846123
9,4,1428.340441124148,402.86725637286094,36.90697563411391,-1.1859900569915873,9.798950472241268
10,0,1444.3523287635749,422.29590561588833,36.90711959486739,-1.1858145082105034,11.58786633875547
10,1,1365.8319342409538,546.6694013897707,36.906415120698654,-1.1846894861957937,12.482849215085887
10,2,1422.9635663128856,521.1521477842401,36.90692813905811,-1.1849205830984746,13.282583635451966
10,3,1354.7642925580017,61.403992694967165,36.90631240350252,-1.1890767894139898,13.759625298506577
10,4,1415.6775780746957,401.11260775276696,36.906861876469215,-1.1860058345108007,12.305836108513176
11,0,1437.8795093331382,409.49020956302763,36.90706136496923,-1.1859302427935658,13.19980745510524
11,1,1354.3062336044507,551.0102496814407,36.90631161923529,-1.1846501609797606,12.315579076808215
11,2,1431.6954436942624,517.6606400985211,36.90700655048786,-1.1849522101773953,9.404373466605481
11,3,1356.3132331691272,76.96144012505836,36.90632642307393,-1.1889361421342415,15.644041203847154
11,4,1401.1870425731959,407.1915024804663,36.9067317547747,-1.1859507749145473,14.860126998322084
12,0,1424.221264152377,401.63332640667034,36.90693862471577,-1.1860011850247967,15.202180248958523
12,2,1437.6254189864972,515.2894943065382,36.90705980110581,-1.1849736886971975,6.386679503179783
12,3,1358.0834013701328,94.74088146177478,36.906342444975024,-1.1887754068900551,17.878402874432503
12,4,1392.4609273999026,420.9885196862195,36.906653465141666,-1.1858259736877301,15.837049731365576
12,5,1525.73,389.03,36.907850354068806,-1.18611582836228,0.0
13,0,1406.1737687063833,403.843998256192,36.906776525901364,-1.1859810744673276,17.319855008128567
13,2,1442.648750544496,512.4490541564811,36.90710490450349,-1.1849994040060468,5.864045452049374
13,3,1360.1033305664985,115.0335049651205,36.9063607274875,-1.188591951186033,20.40552817473654
13,4,1387.0130963366782,431.8739937606453,36.906604603307414,-1.185727518722791,12.456011268156752
13,5,1523.7819754176196,389.8087635501154,36.90783286097772,-1.186108774084061,2.0975293326890094
14,0,1394.625507091631,415.39564667336066,36.90667287073632,-1.1858765547554562,15.832586014332417
14,2,1445.7966064451552,505.1584696079634,36.90713313100439,-1.1850653411423315,6.4899570510512214
