Req_ID,Veh_ID,Tile_name,Tx1,P1,Pr1,Tx2,P2,Total delay,Distance
32,1,"(10, 10)_5_9_osm",0.0,3.120999994584114e-07,0.0016,9.8304e-05,3.120999994584114e-07,0.001698928199998917,93.62999983752343
32,1,"(10, 10)_5_9_pcd",0.0,3.120999994584114e-07,0.0016,9.8304e-05,3.120999994584114e-07,0.001698928199998917,93.62999983752343
33,2,"(10, 10)_5_9_osm",0.0,2.8596182029536985e-07,0.0016,9.8304e-05,2.8596182029536985e-07,0.0016988759236405907,85.78854608861096
33,2,"(10, 10)_5_9_pcd",0.0,2.8596182029536985e-07,0.0016,9.8304e-05,2.8596182029536985e-07,0.0016988759236405907,85.78854608861096
34,3,"(10, 10)_4_0_osm",0.0,1.0707989132691387e-06,0.0016,9.8304e-05,1.0707989132691387e-06,0.0017004455978265386,321.2396739807416
34,3,"(10, 10)_4_0_pcd",0.0,1.0707989132691387e-06,0.0016,9.8304e-05,1.0707989132691387e-06,0.0017004455978265386,321.2396739807416
35,4,"(10, 10)_6_7_osm",0.0,8.064029929729661e-08,0.0016,9.8304e-05,8.064029929729661e-08,0.0016984652805985946,24.192089789188984
35,4,"(10, 10)_6_7_pcd",0.0,8.064029929729661e-08,0.0016,9.8304e-05,8.064029929729661e-08,0.0016984652805985946,24.192089789188984
36,0,"(10, 10)_7_7_osm",0.0,8.992474752659276e-08,0.0016,9.8304e-05,8.992474752659276e-08,0.0016984838494950533,26.977424257977827
36,0,"(10, 10)_7_7_pcd",0.0,8.992474752659276e-08,0.0016,9.8304e-05,8.992474752659276e-08,0.0016984838494950533,26.977424257977827
37,1,"(10, 10)_4_9_osm",0.0,3.36343232161355e-07,0.0016,9.8304e-05,3.36343232161355e-07,0.0016989766864643227,100.9029696484065
37,1,"(10, 10)_4_9_pcd",0.0,3.36343232161355e-07,0.0016,9.8304e-05,3.36343232161355e-07,0.0016989766864643227,100.9029696484065
38,2,"(10, 10)_6_9_osm",0.0,2.660659015109364e-07,0.0016,9.8304e-05,2.660659015109364e-07,0.0016988361318030218,79.81977045328092
38,2,"(10, 10)_6_9_pcd",0.0,2.660659015109364e-07,0.0016,9.8304e-05,2.660659015109364e-07,0.0016988361318030218,79.81977045328092
39,3,"(10, 10)_4_0_osm",0.0,1.0393371211611728e-06,0.0016,9.8304e-05,1.0393371211611728e-06,0.0017003826742423226,311.80113634835186
39,3,"(10, 10)_4_0_pcd",0.0,1.0393371211611728e-06,0.0016,9.8304e-05,1.0393371211611728e-06,0.0017003826742423226,311.80113634835186
40,4,"(10, 10)_6_7_osm",0.0,7.387873133775858e-08,0.0016,9.8304e-05,7.387873133775858e-08,0.0016984517574626754,22.163619401327576
40,4,"(10, 10)_6_7_pcd",0.0,7.387873133775858e-08,0.0016,9.8304e-05,7.387873133775858e-08,0.0016984517574626754,22.163619401327576
41,0,"(10, 10)_7_7_osm",0.0,8.904694871461938e-08,0.0016,9.8304e-05,8.904694871461938e-08,0.0016984820938974294,26.714084614385815
41,0,"(10, 10)_7_7_pcd",0.0,8.904694871461938e-08,0.0016,9.8304e-05,8.904694871461938e-08,0.0016984820938974294,26.714084614385815
42,1,"(10, 10)_4_9_osm",0.0,3.640044205174714e-07,0.0016,9.8304e-05,3.640044205174714e-07,0.001699032008841035,109.20132615524142
42,1,"(10, 10)_4_9_pcd",0.0,3.640044205174714e-07,0.0016,9.8304e-05,3.640044205174714e-07,0.001699032008841035,109.20132615524142
43,2,"(10, 10)_6_9_osm",0.0,2.523270596279748e-07,0.0016,9.8304e-05,2.523270596279748e-07,0.001698808654119256,75.69811788839243
43,2,"(10, 10)_6_9_pcd",0.0,2.523270596279748e-07,0.0016,9.8304e-05,2.523270596279748e-07,0.001698808654119256,75.69811788839243
44,3,"(10, 10)_4_1_osm",0.0,1.0025389359859356e-06,0.0016,9.8304e-05,1.0025389359859356e-06,0.0017003090778719718,300.76168079578065
44,3,"(10, 10)_4_1_pcd",0.0,1.0025389359859356e-06,0.0016,9.8304e-05,1.0025389359859356e-06,0.0017003090778719718,300.76168079578065
