Row Number,Time,Vehicle ID,X,Y,Lat,Long,Speed,tile_name,matrix_indices
1,0,0,1437.82,468.34,36.90706123016816,-1.1853981697363782,0.0,"['(10, 10)_9_8_osm', '(10, 10)_9_8_pcd']","(9, 8)"
2,1,0,1434.86,469.54,36.90703464975781,-1.1853873000649835,0.0,"['(10, 10)_8_8_osm', '(10, 10)_8_8_pcd']","(8, 8)"
3,1,1,1436.4542835198777,519.2033881872151,36.90704930781084,-1.1849382944025133,0.0,"['(10, 10)_9_9_osm', '(10, 10)_9_9_pcd']","(9, 9)"
4,2,0,1434.4943960932876,471.0256112823126,36.90703137576535,-1.1853738658592998,1.54,"['(10, 10)_8_8_osm', '(10, 10)_8_8_pcd']","(8, 8)"
5,2,1,1434.6172799862848,519.9378411057918,36.90703281169199,-1.1849316415157949,1.9783105810172856,"['(10, 10)_8_9_osm', '(10, 10)_8_9_pcd']","(8, 9)"
6,2,2,1356.4628632790882,546.7733276198711,36.90633096264327,-1.1846884825538733,0.0,"['(10, 10)_0_9_osm', '(10, 10)_0_9_pcd']","(0, 9)"
7,3,0,1431.7860714062,470.0626270860117,36.90700704137043,-1.1853825538778686,3.850451199366711,"['(10, 10)_8_8_osm', '(10, 10)_8_8_pcd']","(8, 8)"
8,3,1,1431.2114555749522,521.2995247570857,36.90700222770991,-1.1849193069920043,3.6678092049434783,"['(10, 10)_8_9_osm', '(10, 10)_8_9_pcd']","(8, 9)"
9,3,2,1358.5270176210247,545.9963078567597,36.906349498871904,-1.1846955218466564,2.2056335009634496,"['(10, 10)_1_9_osm', '(10, 10)_1_9_pcd']","(1, 9)"
10,3,3,1349.2155001170008,4.602703025043772,36.90626217358232,-1.1895903028243155,0.0,"['(10, 10)_0_0_osm', '(10, 10)_0_0_pcd']","(0, 0)"
11,4,0,1434.12689499022,465.1219737004548,36.907028034548745,-1.1854272393068213,6.212008801084943,"['(10, 10)_8_8_osm', '(10, 10)_8_8_pcd']","(8, 8)"
12,4,1,1426.5725653688712,523.1542008034344,36.9069605709145,-1.184902506800945,4.995725599350409,"['(10, 10)_8_9_osm', '(10, 10)_8_9_pcd']","(8, 9)"
13,4,2,1362.7455132918362,544.4083187998243,36.90638738121455,-1.1847099079929813,4.507635493227281,"['(10, 10)_1_9_osm', '(10, 10)_1_9_pcd']","(1, 9)"
14,4,3,1349.4591152795929,7.096723368985519,36.90626437889088,-1.1895677555746875,2.507441041059792,"['(10, 10)_0_0_osm', '(10, 10)_0_0_pcd']","(0, 0)"
15,4,4,1441.95,426.49,36.90709804414503,-1.1857765721424305,0.0,"['(10, 10)_9_7_osm', '(10, 10)_9_7_pcd']","(9, 7)"
16,5,0,1436.726595078112,459.0033268753367,36.90705134511596,-1.185482576979194,7.176679608586244,"['(10, 10)_9_8_osm', '(10, 10)_9_8_pcd']","(9, 8)"
17,5,1,1419.6008269870038,525.9415735593815,36.90689796536577,-1.184877257974326,7.508022470679135,"['(10, 10)_7_9_osm', '(10, 10)_7_9_pcd']","(7, 9)"
18,5,2,1369.2070479626882,541.9759715488084,36.90644540618344,-1.1847319434748107,6.904414581856691,"['(10, 10)_2_9_osm', '(10, 10)_2_9_pcd']","(2, 9)"
19,5,3,1349.9117699366732,11.730794218799154,36.90626847651331,-1.1895258611479016,4.65900747932028,"['(10, 10)_0_0_osm', '(10, 10)_0_0_pcd']","(0, 0)"
20,5,4,1445.06,426.41427859843947,36.907125979588656,-1.1857772780192448,2.201692483876832,"['(10, 10)_9_7_osm', '(10, 10)_9_7_pcd']","(9, 7)"
