Tile Name,Start Latitude,Start Longitude
"(10, 10)_9_8_osm",36.91876858854588,-1.1689797666501287
"(10, 10)_4_0_osm",36.90888820249149,-1.1895903028243155
"(10, 10)_4_1_osm",36.90888820249149,-1.1870139858025421
"(10, 10)_0_2_pcd",36.90098389364798,-1.184437668780769
"(10, 10)_2_0_pcd",36.904936048069736,-1.1895903028243155
"(10, 10)_1_1_osm",36.90295997085886,-1.1870139858025421
"(10, 10)_3_2_pcd",36.90691212528061,-1.184437668780769
"(10, 10)_3_2_osm",36.90691212528061,-1.184437668780769
"(10, 10)_3_1_pcd",36.90691212528061,-1.1870139858025421
"(10, 10)_0_2_osm",36.90098389364798,-1.184437668780769
"(10, 10)_2_0_osm",36.904936048069736,-1.1895903028243155
"(10, 10)_2_1_pcd",36.904936048069736,-1.1870139858025421
"(10, 10)_9_9_pcd",36.91876858854588,-1.1664034496283555
"(10, 10)_1_2_osm",36.90295997085886,-1.184437668780769
"(10, 10)_2_1_osm",36.904936048069736,-1.1870139858025421
"(10, 10)_3_0_osm",36.90691212528061,-1.1895903028243155
"(10, 10)_4_0_pcd",36.90888820249149,-1.1895903028243155
"(10, 10)_9_8_pcd",36.91876858854588,-1.1689797666501287
"(10, 10)_1_1_pcd",36.90295997085886,-1.1870139858025421
"(10, 10)_9_9_osm",36.91876858854588,-1.1664034496283555
"(10, 10)_3_1_osm",36.90691212528061,-1.1870139858025421
"(10, 10)_1_2_pcd",36.90295997085886,-1.184437668780769
"(10, 10)_4_1_pcd",36.90888820249149,-1.1870139858025421
"(10, 10)_3_0_pcd",36.90691212528061,-1.1895903028243155
