Req_ID,Veh_ID,Tile_name,Tx1,P1,Pr1,Tx2,P2,Total delay,Distance
1,0,"(10, 10)_6_8_osm",0.008192,1.2867607441355035e-07,0.0,0.0,386.02822336932707,386.0364154980031,38.6028223240651
2,0,"(10, 10)_6_8_pcd",0.008192,1.2867607441355035e-07,0.0,0.0,386.02822336932707,386.0364154980031,38.6028223240651
4,0,"(10, 10)_6_8_pcd",0.008192,1.2675186605106607e-07,0.0,0.0,380.25559827995,380.26379040670184,38.025559815319816
5,1,"(10, 10)_6_9_osm",0.008192,2.5417821160028377e-07,0.0,0.0,762.5346350550294,762.5428273092076,76.25346348008513
6,1,"(10, 10)_6_9_pcd",0.008192,2.5417821160028377e-07,0.0,0.0,762.5346350550294,762.5428273092076,76.25346348008513
7,0,"(10, 10)_6_8_osm",0.008192,1.2980464961003844e-07,0.0,0.0,25.286620183708244,25.294812313512892,38.94139488301153
8,0,"(10, 10)_6_8_pcd",0.008192,1.2980464961003844e-07,0.0,0.0,25.286620183708244,25.294812313512892,38.94139488301153
10,1,"(10, 10)_6_9_pcd",0.008192,2.54679384776906e-07,0.0,0.0,38.6207386595579,38.62893091423729,76.40381543307181
11,2,"(10, 10)_4_9_osm",0.008192,3.8007738744213907e-07,0.0,0.0,1140.2321627064946,1140.240355086572,114.02321623264173
12,2,"(10, 10)_4_9_pcd",0.008192,3.8007738744213907e-07,0.0,0.0,1140.2321627064946,1140.240355086572,114.02321623264173
13,0,"(10, 10)_6_8_osm",0.008192,1.2382998688839727e-07,0.0,0.0,9.647959322125793,9.65615144595578,37.14899606651918
14,0,"(10, 10)_6_8_pcd",0.008192,1.2382998688839727e-07,0.0,0.0,9.647959322125793,9.65615144595578,37.14899606651918
15,1,"(10, 10)_6_9_osm",0.008192,2.560328053641157e-07,0.0,0.0,20.941613441830555,20.94980569786336,76.80984160923471
16,1,"(10, 10)_6_9_pcd",0.008192,2.560328053641157e-07,0.0,0.0,20.941613441830555,20.94980569786336,76.80984160923471
17,2,"(10, 10)_4_9_osm",0.008192,3.7465506853484455e-07,0.0,0.0,50.95883850952974,50.96703088418481,112.39652056045337
18,2,"(10, 10)_4_9_pcd",0.008192,3.7465506853484455e-07,0.0,0.0,50.95883850952974,50.96703088418481,112.39652056045337
19,3,"(10, 10)_4_0_osm",0.008192,1.1553237670686136e-06,0.0,0.0,3465.971302361165,3465.9794955164884,346.5971301205841
20,3,"(10, 10)_4_0_pcd",0.008192,1.1553237670686136e-06,0.0,0.0,3465.971302361165,3465.9794955164884,346.5971301205841
21,0,"(10, 10)_6_8_osm",0.008192,1.1510656933713233e-07,0.0,0.0,5.558905761716182,5.567097876822751,34.5319708011397
22,0,"(10, 10)_6_8_pcd",0.008192,1.1510656933713233e-07,0.0,0.0,5.558905761716182,5.567097876822751,34.5319708011397
23,1,"(10, 10)_6_9_osm",0.008192,2.5874828677340025e-07,0.0,0.0,15.538180746906711,15.546373005654997,77.62448603202007
24,1,"(10, 10)_6_9_pcd",0.008192,2.5874828677340025e-07,0.0,0.0,15.538180746906711,15.546373005654997,77.62448603202007
25,2,"(10, 10)_4_9_osm",0.008192,3.6376298909477913e-07,0.0,0.0,24.209787710676874,24.217980074439865,109.12889672843374
26,2,"(10, 10)_4_9_pcd",0.008192,3.6376298909477913e-07,0.0,0.0,24.209787710676874,24.217980074439865,109.12889672843374
27,3,"(10, 10)_4_0_osm",0.008192,1.1486122888290316e-06,0.0,0.0,137.42444344100937,137.43263658962167,344.5836866487095
28,3,"(10, 10)_4_0_pcd",0.008192,1.1486122888290316e-06,0.0,0.0,137.42444344100937,137.43263658962167,344.5836866487095
29,4,"(10, 10)_7_7_osm",0.008192,8.010039591753014e-08,0.0,0.0,240.3011878326908,240.3093799127912,24.03011877525904
30,4,"(10, 10)_7_7_pcd",0.008192,8.010039591753014e-08,0.0,0.0,240.3011878326908,240.3093799127912,24.03011877525904
31,0,"(10, 10)_6_8_osm",0.008192,1.0581263360468253e-07,0.0,0.0,4.423186288379039,4.431378394191673,31.743790081404757
32,0,"(10, 10)_6_8_pcd",0.008192,1.0581263360468253e-07,0.0,0.0,4.423186288379039,4.431378394191673,31.743790081404757
33,1,"(10, 10)_6_9_osm",0.008192,2.6465361826389335e-07,0.0,0.0,10.574833489944467,10.583025754598085,79.39608547916801
34,1,"(10, 10)_6_9_pcd",0.008192,2.6465361826389335e-07,0.0,0.0,10.574833489944467,10.583025754598085,79.39608547916801
35,2,"(10, 10)_4_9_osm",0.008192,3.476191842230641e-07,0.0,0.0,15.10421432992547,15.112406677544655,104.28575526691924
36,2,"(10, 10)_4_9_pcd",0.008192,3.476191842230641e-07,0.0,0.0,15.10421432992547,15.112406677544655,104.28575526691924
37,3,"(10, 10)_4_0_osm",0.008192,1.1361425303152607e-06,0.0,0.0,73.15780579892984,73.16599893507237,340.8427590945782
38,3,"(10, 10)_4_0_pcd",0.008192,1.1361425303152607e-06,0.0,0.0,73.15780579892984,73.16599893507237,340.8427590945782
39,4,"(10, 10)_7_7_osm",0.008192,9.045669675245692e-08,0.0,0.0,12.32552203526213,12.333714125718828,27.137009025737076
40,4,"(10, 10)_7_7_pcd",0.008192,9.045669675245692e-08,0.0,0.0,12.32552203526213,12.333714125718828,27.137009025737076
41,0,"(10, 10)_6_8_osm",0.008192,9.777754665526107e-08,0.0,0.0,7.3783553734796925,7.386547471257239,29.33326399657832
42,0,"(10, 10)_6_8_pcd",0.008192,9.777754665526107e-08,0.0,0.0,7.3783553734796925,7.386547471257239,29.33326399657832
